path,file,name,kind,date,type,duration,transcription_doc,transcription_txt,transcription_json
2022/Henryk 2022-05-26 Bajka o nowym samochodziku.m4a,Henryk 2022-05-26 Bajka o nowym samochodziku.m4a,Bajka o nowym samochodziku,Henryk,2022-05-26,m4a,466.688000,Henryk 2022-05-26 Bajka o nowym samochodziku.docx,Henryk 2022-05-26 Bajka o nowym samochodziku.txt,Henryk 2022-05-26 Bajka o nowym samochodziku.json
2022/Henryk 2022-05-27 Bajka o Eryku r1.m4a,Henryk 2022-05-27 Bajka o Eryku r1.m4a,Bajka o Eryku r1,Henryk,2022-05-27,m4a,546.154667,Henryk 2022-05-27 Bajka o Eryku r1.docx,Henryk 2022-05-27 Bajka o Eryku r1.txt,Henryk 2022-05-27 Bajka o Eryku r1.json
2022/Henryk 2022-05-28 Bajka o swince peppie i domu rebeki.m4a,Henryk 2022-05-28 Bajka o swince peppie i domu rebeki.m4a,Bajka o swince peppie i domu rebeki,Henryk,2022-05-28,m4a,387.264000,Henryk 2022-05-28 Bajka o swince peppie i domu rebeki.docx,Henryk 2022-05-28 Bajka o swince peppie i domu rebeki.txt,Henryk 2022-05-28 Bajka o swince peppie i domu rebeki.json
2022/Henryk 2022-05-30 Bajka o parku dinozaurow.m4a,Henryk 2022-05-30 Bajka o parku dinozaurow.m4a,Bajka o parku dinozaurow,Henryk,2022-05-30,m4a,511.658667,Henryk 2022-05-30 Bajka o parku dinozaurow.docx,Henryk 2022-05-30 Bajka o parku dinozaurow.txt,Henryk 2022-05-30 Bajka o parku dinozaurow.json
2022/Henryk 2022-05-31 Bajka o drużynie koszykowki.m4a,Henryk 2022-05-31 Bajka o drużynie koszykowki.m4a,Bajka o drużynie koszykowki,Henryk,2022-05-31,m4a,492.355918,Henryk 2022-05-31 Bajka o drużynie koszykowki.docx,Henryk 2022-05-31 Bajka o drużynie koszykowki.txt,Henryk 2022-05-31 Bajka o drużynie koszykowki.json
2022/Henryk 2022-06-01 Bajka o bananach.m4a,Henryk 2022-06-01 Bajka o bananach.m4a,Bajka o bananach,Henryk,2022-06-01,m4a,512.896000,Henryk 2022-06-01 Bajka o bananach.docx,Henryk 2022-06-01 Bajka o bananach.txt,Henryk 2022-06-01 Bajka o bananach.json
2022/Henryk 2022-06-02 Bajka o kotkach i majówce.m4a,Henryk 2022-06-02 Bajka o kotkach i majówce.m4a,Bajka o kotkach i majówce,Henryk,2022-06-02,m4a,603.157333,Henryk 2022-06-02 Bajka o kotkach i majówce.docx,Henryk 2022-06-02 Bajka o kotkach i majówce.txt,Henryk 2022-06-02 Bajka o kotkach i majówce.json
2022/Henryk 2022-06-03 Bajka o jeżyku cyprianie.m4a,Henryk 2022-06-03 Bajka o jeżyku cyprianie.m4a,Bajka o jeżyku cyprianie,Henryk,2022-06-03,m4a,556.757333,Henryk 2022-06-03 Bajka o jeżyku cyprianie.docx,Henryk 2022-06-03 Bajka o jeżyku cyprianie.txt,Henryk 2022-06-03 Bajka o jeżyku cyprianie.json
2022/Henryk 2022-06-04 W starym gaju.m4a,Henryk 2022-06-04 W starym gaju.m4a,W starym gaju,Henryk,2022-06-04,m4a,338.005333,Henryk 2022-06-04 W starym gaju.docx,Henryk 2022-06-04 W starym gaju.txt,Henryk 2022-06-04 W starym gaju.json
2022/Henryk 2022-06-05 Bajka o okruchach słońca.m4a,Henryk 2022-06-05 Bajka o okruchach słońca.m4a,Bajka o okruchach słońca,Henryk,2022-06-05,m4a,547.968000,Henryk 2022-06-05 Bajka o okruchach słońca.docx,Henryk 2022-06-05 Bajka o okruchach słońca.txt,Henryk 2022-06-05 Bajka o okruchach słońca.json
