,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,path,file,name,kind,date,type,duration,transcription_id,processed
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022/Henryk 2022-05-26 Bajka o nowym samochodziku.m4a,Henryk 2022-05-26 Bajka o nowym samochodziku.m4a,Bajka o nowym samochodziku,Henryk,2022-05-26,m4a,466.688,afe1888f-d829-4f86-a4de-a8696d7c6a43,True
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2022/Henryk 2022-05-27 Bajka o Eryku r1.m4a,Henryk 2022-05-27 Bajka o Eryku r1.m4a,Bajka o Eryku r1,Henryk,2022-05-27,m4a,546.154667,011c0d5f-c141-4080-a649-7a1563d9c376,True
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2022/Henryk 2022-05-28 Bajka o swince peppie i domu rebeki.m4a,Henryk 2022-05-28 Bajka o swince peppie i domu rebeki.m4a,Bajka o swince peppie i domu rebeki,Henryk,2022-05-28,m4a,387.264,3fb6157f-12eb-4ae2-b01a-75fbeabbe6a1,True
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2022/Henryk 2022-05-30 Bajka o parku dinozaurow.m4a,Henryk 2022-05-30 Bajka o parku dinozaurow.m4a,Bajka o parku dinozaurow,Henryk,2022-05-30,m4a,511.658667,56f7ac9c-1377-41b5-89e3-537bd1be4506,True
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2022/Henryk 2022-05-31 Bajka o drużynie koszykowki.m4a,Henryk 2022-05-31 Bajka o drużynie koszykowki.m4a,Bajka o drużynie koszykowki,Henryk,2022-05-31,m4a,492.355918,c25c923b-b526-47f6-9a66-75f51d9c32aa,True
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2022/Henryk 2022-06-01 Bajka o bananach.m4a,Henryk 2022-06-01 Bajka o bananach.m4a,Bajka o bananach,Henryk,2022-06-01,m4a,512.896,d6e677ee-6293-4a5b-81f1-b073fb2ceb34,True
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2022/Henryk 2022-06-02 Bajka o kotkach i majówce.m4a,Henryk 2022-06-02 Bajka o kotkach i majówce.m4a,Bajka o kotkach i majówce,Henryk,2022-06-02,m4a,603.157333,2bf8fbc0-91eb-4d7c-a9a1-ea78ce4244d5,True
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2022/Henryk 2022-06-03 Bajka o jeżyku cyprianie.m4a,Henryk 2022-06-03 Bajka o jeżyku cyprianie.m4a,Bajka o jeżyku cyprianie,Henryk,2022-06-03,m4a,556.757333,4eddb71e-32af-422c-a5e1-e9010ed15649,True
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2022/Henryk 2022-06-04 W starym gaju.m4a,Henryk 2022-06-04 W starym gaju.m4a,W starym gaju,Henryk,2022-06-04,m4a,338.005333,137939cb-353e-4af7-bea5-1d15545edbe6,True
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2022/Henryk 2022-06-05 Bajka o okruchach słońca.m4a,Henryk 2022-06-05 Bajka o okruchach słońca.m4a,Bajka o okruchach słońca,Henryk,2022-06-05,m4a,547.968,e80e0dfb-84f4-40a5-accc-e6857196e948,True
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2022/Henryk 2022-06-06 Bajka po peppie i perfumach.m4a,Henryk 2022-06-06 Bajka po peppie i perfumach.m4a,Bajka po peppie i perfumach,Henryk,2022-06-06,m4a,475.349333,56246822-1dc2-4d77-8f4c-607cbdafa62b,True
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2022/Henryk 2022-06-07 Bajka o robotach drogowych.m4a,Henryk 2022-06-07 Bajka o robotach drogowych.m4a,Bajka o robotach drogowych,Henryk,2022-06-07,m4a,481.92,406ee362-0f2a-48a9-a6a3-ec4e679d9178,True
